severity,type,path,detail
low,oversized_document,docs/API_REFERENCE.md,612 lines
low,oversized_document,docs/ai/ai_prompt_surface_inventory.md,541 lines
low,oversized_document,docs/architecture/CORE_TECHNICAL_AUDIT_2026-05-17.md,702 lines
low,oversized_document,docs/caps/caps_source_acquisition_plan_v2.md,1091 lines
low,oversized_document,docs/content_factory_overnight_batch_pipeline.md,1043 lines
low,oversized_document,docs/curriculum/StudyMaterialExpansionPlan.md,609 lines
low,oversized_document,docs/docs_inventory.md,3039 lines
low,oversized_document,docs/engineering/audits/true_state_technical_report_2026-07-13.md,876 lines
low,oversized_document,docs/etl/README.md,566 lines
low,oversized_document,docs/release/EVIDENCE_INDEX.md,1696 lines
low,oversized_document,docs/release/EduBoost_V2_Production_Readiness_Technical_Assessment.md,534 lines
low,oversized_document,docs/release/EduBoost_V2_Technical_Report_v2.md,776 lines
low,oversized_document,docs/release/audit_callsite_inventory.md,6113 lines
low,oversized_document,docs/release/consent_callsite_inventory.md,648 lines
low,oversized_document,docs/roadmap/EduBoost_Full_Lifecycle_Delivery_and_Beta_Readiness_Plan.md,1896 lines
low,oversized_document,docs/roadmap/execution/atlas/phase_02r_appendix_a_data_model.md,612 lines
low,oversized_document,docs/roadmap/execution/atlas/phase_02r_execution_plan.md,2366 lines
low,oversized_document,docs/roadmap/execution/atlas/phase_03_execution_plan.md,1188 lines
low,oversized_document,docs/roadmap/execution/audit_remediation_roadmap_2026-06-13.md,1174 lines
low,oversized_document,docs/roadmap/execution/true_state_remediation_roadmap_2026-07-13.md,943 lines
low,oversized_document,docs/roadmap/knowledge_graph/kg_implementation_roadmap.md,547 lines
low,oversized_document,docs/roadmap/roadmap.md,685 lines
low,oversized_document,docs/route_inventory.md,552 lines
