path,title,h1,status,owner,audience,source_of_truth,last_reviewed,review_interval_days,line_count,byte_count,risky_terms,broken_local_links,has_front_matter
.agent.md,,,,,,,,,32,2045,,0,False
.github/ISSUE_TEMPLATE/bug_report.md,[Bug]: ,,,,,,,,28,374,,0,True
.github/ISSUE_TEMPLATE/feature_request.md,[Feature]: ,,,,,,,,20,332,,0,True
.github/ISSUE_TEMPLATE/incorrect_content.md,[Content]: ,,,,,,,,27,451,,0,True
.github/ISSUE_TEMPLATE/popia_concern.md,[POPIA]: ,,,,,,,,30,540,,0,True
.github/PULL_REQUEST_TEMPLATE/documentation_change.md,,,,,,,,,11,560,,0,False
.github/PULL_REQUEST_TEMPLATE.md,,,,,,,,,55,1007,,0,False
.github/SECRETS_CONFIGURATION.md,GitHub Actions Secret Configuration for db-backup-restore-rollback-evidence,GitHub Actions Secret Configuration for db-backup-restore-rollback-evidence,,,,,,,112,3235,,0,False
.github/agents/eduboost-backend.agent.md,EduBoost Backend Specialist,EduBoost Backend Specialist,,,,,,,54,1875,,0,True
.github/agents/impact-delivery.agent.md,,,,,,,,,79,3358,,0,True
.github/agents/phase-0-executor.agent.md,,,,,,,,,91,3998,,0,True
.github/prompts/plan-addGoogleDocstringsToModules.prompt.md,Plan: Add Google-Style Docstrings to app/modules/,Plan: Add Google-Style Docstrings to app/modules/,,,,,,,118,6043,,0,False
.github/pull_request_template.md,Pull Request,Pull Request,,,,,,,76,2188,,0,False
CHANGELOG.md,Changelog,Changelog,,,,,,,176,10596,,0,False
CODE_OF_CONDUCT.md,Code of Conduct,Code of Conduct,,,,,,,70,3196,,0,False
CONTRIBUTING.md,Contributing to EduBoost SA,Contributing to EduBoost SA,,,,,,,157,3911,,1,False
Memory.md,Agent Memory & Behavioral Directives,Agent Memory & Behavioral Directives,,,,,,,21,1937,,0,False
PRIVACY_NOTICE.md,EduBoost SA Privacy Notice,EduBoost SA Privacy Notice,,,,,,,215,9115,,0,False
README.md,EduBoost SA,EduBoost SA,,,,,,,197,8015,,1,False
SECURITY.md,Security Policy,Security Policy,,,,,,,99,2955,,1,False
audits/agents_tasks/AGENT_IMPLEMENTATION_TODO.md,Agent Implementation TODO,Agent Implementation TODO,,,,,,,34,1658,,0,False
audits/agents_tasks/TODO.md,EduBoost SA V2 — Agent TODO List,EduBoost SA V2 — Agent TODO List,,,,,,,815,48600,,0,False
audits/agents_tasks/TODO_Harmonic-Fusion.md,Harmonic Fusion Blueprint for Eduboost-V2,Harmonic Fusion Blueprint for Eduboost-V2,,,,,,,108,4193,,0,False
audits/agents_tasks/archive/AGENT_INSTRUCTIONS.md,🤖 Autonomous Agent Instructions & Configurations,🤖 Autonomous Agent Instructions & Configurations,,,,,,,40,2628,,0,False
audits/agents_tasks/archive/AGENT_INSTRUCTIONS_V2.md,EduBoost V2 Agent Instructions,EduBoost V2 Agent Instructions,,,,,,,24,886,,0,False
audits/agents_tasks/archive/AGENT_SPEC.md,Self‑Auditing High‑Assurance Agent Specification,Self‑Auditing High‑Assurance Agent Specification,,,,,,,54,1418,,0,False
audits/agents_tasks/eduboost_fourth_estate/README_INTEGRATION.md,Integration Guide: Durable Audit Trail (Fourth Estate),Integration Guide: Durable Audit Trail (Fourth Estate),,,,,,,67,2127,,0,False
audits/archive/MANIFEST.md,Archived Audit Artifacts,Archived Audit Artifacts,,,,,,,9,272,,0,False
audits/code_debt/triage_20260527.md,Phase 1 — T120/T121 — Code Marker Triage,Phase 1 — T120/T121 — Code Marker Triage,,,,,,,101,8104,,0,False
audits/coverage/coverage_baseline_20260527.md,Phase 1 — T130 — Coverage Baseline,Phase 1 — T130 — Coverage Baseline,,,,,,,230,8044,,0,False
audits/deep_app_audit/documentation_consolidation_report.md,Deep Application Audit - Documentation Consolidation Report,Deep Application Audit - Documentation Consolidation Report,,,,,,,126,8647,,0,False
audits/deep_app_audit/implementation_reality_report.md,Deep Application Audit - Implementation Reality Report,Deep Application Audit - Implementation Reality Report,,,,,,,68,7184,,0,False
audits/deep_app_audit/repository_spring_cleaning_report.md,Deep Application Audit - Repository Spring Cleaning Report,Deep Application Audit - Repository Spring Cleaning Report,,,,,,,59,4323,,0,False
audits/migration/alembic_rollback_policy_gap_20260528.md,Alembic Rollback Policy Gap — 2026-05-28,Alembic Rollback Policy Gap — 2026-05-28,,,,,,,11,397,,0,False
audits/phase0/domain_a_test_collection_evidence.md,Phase 0 — Domain A — Test Collection Evidence,Phase 0 — Domain A — Test Collection Evidence,,,,,,,143,4554,,0,False
audits/phase0/domain_b_health_contract_evidence.md,Phase 0 — Domain B — Health Contract Evidence,Phase 0 — Domain B — Health Contract Evidence,,,,,,,79,3327,,0,False
audits/phase0/domain_c_migration_integrity_evidence.md,Phase 0 — Domain C — Migration Integrity Evidence,Phase 0 — Domain C — Migration Integrity Evidence,,,,,,,181,6004,,0,False
audits/phase0/domain_d_alertmanager_evidence.md,Phase 0 — Domain D — Alertmanager / Observability Evidence,Phase 0 — Domain D — Alertmanager / Observability Evidence,,,,,,,138,4784,,0,False
audits/phase0/domain_e_hardening_evidence.md,Phase 0 — Domain E — Hardening Intake & Repository Hygiene Evidence,Phase 0 — Domain E — Hardening Intake & Repository Hygiene Evidence,,,,,,,170,5676,,0,False
audits/privacy/popia_consent_versioning_gap_analysis_20260527.md,POPIA Consent Versioning Implementation Gap Analysis,POPIA Consent Versioning Implementation Gap Analysis,,,,,,,325,11865,,0,False
audits/privacy/popia_erasure_gap_analysis_20260527.md,POPIA Erasure Implementation Gap Analysis,POPIA Erasure Implementation Gap Analysis,,,,,,,287,10789,,0,False
audits/privacy/popia_export_gap_analysis_20260527.md,POPIA Export Implementation Gap Analysis,POPIA Export Implementation Gap Analysis,,,,,,,345,12187,,0,False
audits/privacy/popia_remaining_review_20260528.md,POPIA Remaining Review — 2026-05-28,POPIA Remaining Review — 2026-05-28,,,,,,,14,578,,0,False
audits/production_hardening/intake_triage_20260527.md,Phase 0 — Production Hardening Intake Triage,Phase 0 — Production Hardening Intake Triage,,,,,,,108,3856,,0,False
audits/releases/v0.1.0-beta_evidence.md,Release Evidence Bundle: v0.1.0-beta,Release Evidence Bundle: v0.1.0-beta,,,,,,,36,1720,production-ready,0,False
audits/reports/Agentic_Execution_Report.md,EduBoost Agentic Execution Report,EduBoost Agentic Execution Report,,,,,,,105,3580,,0,False
audits/reports/Agentic_Execution_Report_tasks_24_25.md,EduBoost — Agentic Execution Report: Tasks #24 & #25,EduBoost — Agentic Execution Report: Tasks #24 & #25,,,,,,,112,5335,,0,False
audits/reports/Backend_Report.md,EduBoost SA — Backend Engineering Report,EduBoost SA — Backend Engineering Report,,,,,,,306,15995,production-ready,0,False
audits/reports/CORE_TECHNICAL_AUDIT_2026-05-17.md,EduBoost V2 Core Technical Audit,EduBoost V2 Core Technical Audit,,,,,,,549,29657,,0,False
audits/reports/Comprehensive_Audit_Summary_2026-06-01.md,EduBoost V2 Comprehensive Audit Summary,EduBoost V2 Comprehensive Audit Summary,,,,,,,520,26769,,0,False
audits/reports/Coverage_Audit_VM_2026-06-01.md,Coverage and Readiness Audit (VM Repo),Coverage and Readiness Audit (VM Repo),,,,,,,71,2923,,0,False
audits/reports/Coverage_Audit_VM_2026-06-02.md,Coverage Audit VM 2026-06-02,Coverage Audit VM 2026-06-02,,,,,,,38,1319,,0,False
audits/reports/EduBoost_SA_Technical_Report.md,EduBoost SA — Comprehensive Technical Assessment Report,EduBoost SA — Comprehensive Technical Assessment Report,,,,,,,481,27802,production-ready;production ready,0,False
audits/reports/FRONTEND_TECHNICAL_AUDIT_IMPROVEMENT_PLAN_2026-05-18.md,Frontend Technical Audit Improvement Plan,Frontend Technical Audit Improvement Plan,,,,,,,84,3909,,0,False
audits/reports/Functional_Frontend_Report.md,EduBoost SA — Functional Frontend Report,EduBoost SA — Functional Frontend Report,,,,,,,61,3838,,0,False
audits/reports/Functional_Implementations_Report.md,EduBoost SA — Functional Implementation Report,EduBoost SA — Functional Implementation Report,,,,,,,267,12703,production-ready,0,False
